123710	0.0833243	0.0832122
61856	0.0414396	0.041883
30929	0.0206879	0.0207503
15465	0.0104006	0.0102856
7733	0.00515503	0.00524325
3867	0.0026184	0.00253431
1934	0.0012822	0.00133546
968	0.000659022	0.00062145
485	0.00033071	0.000327051
243	0.000142118	0.000184242
122	6.97842e-005	7.16618e-005
62	2.60984e-005	4.24975e-005
32	1.47658e-005	1.04505e-005
17	9.49224e-006	4.84996e-006
9	2.57665e-006	6.22451e-006
5	1.24487e-006	6.18422e-007
3	9.56203e-007	2.35236e-007
2	5.5782e-007	1.25898e-007
